RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0473,0,1,0,0,0,21,1,0,0
SRL0474,1,3,2,2,1,38,2,1,4
SRL0475,1,1,3,2,0,32,0,0,0
SRL0476,1,2,3,2,0,19,3,0,4
SRL0477,0,4,3,3,3,52,0,0,0
SRL0478,0,3,3,2,1,52,0,1,3
SRL0479,0,3,3,1,1,42,3,2,1
SRL0480,0,2,3,0,0,33,2,0,1
SRL0481,1,1,3,2,1,29,2,1,0
SRL0482,0,1,0,0,1,31,0,0,0
SRL0483,1,1,2,1,0,63,2,2,5
SRL0484,0,3,3,2,1,18,3,2,4
SRL0485,0,4,3,1,3,64,1,1,2
SRL0486,0,4,3,2,2,74,1,1,4
SRL0487,0,3,3,0,0,44,0,0,0
SRL0488,0,3,3,1,0,50,0,0,0
SRL0489,0,4,3,3,2,45,3,0,0
SRL0490,0,2,2,2,0,25,3,1,4
SRL0491,0,3,3,2,0,22,2,1,4
SRL0492,0,3,3,1,1,37,3,1,0
SRL0493,0,3,1,1,1,23,3,2,4
SRL0494,0,4,3,2,2,25,3,2,0
SRL0495,1,4,3,2,2,45,1,1,4
SRL0496,1,4,3,2,2,24,0,0,7
SRL0497,1,1,3,2,2,31,2,1,3
SRL0498,1,1,3,3,2,21,0,0,0
SRL0499,1,3,2,1,0,26,3,1,0
SRL0500,1,3,3,2,1,40,3,2,6
SRL0501,0,4,3,2,2,50,2,1,0
SRL0502,0,4,2,2,2,70,0,0,0
SRL0503,1,3,3,3,0,30,3,0,0
SRL0504,1,3,1,1,1,40,3,2,4
SRL0505,1,2,3,2,1,27,2,1,0
SRL0506,1,3,3,2,2,29,2,1,3
SRL0507,1,1,3,2,0,45,3,0,0
SRL0508,1,3,3,2,2,22,3,2,6
SRL0509,0,4,3,2,2,55,1,1,3
SRL0510,0,4,3,2,2,71,0,0,0
SRL0511,0,3,3,1,0,29,3,0,0
SRL0512,1,3,1,0,1,63,3,0,0
SRL0513,0,2,1,0,0,21,2,1,0
SRL0514,1,1,0,0,1,23,0,1,0
SRL0515,1,3,3,2,0,40,3,1,0
SRL0516,0,1,3,2,1,22,1,0,6
SRL0517,0,4,3,2,2,49,1,1,7
SRL0518,1,4,3,2,2,53,0,0,3
SRL0519,0,3,3,0,0,53,0,0,0
SRL0520,1,3,3,1,1,49,3,0,0
SRL0521,1,3,3,1,3,80,0,0,4
SRL0522,1,3,3,1,1,49,3,0,2
SRL0523,0,3,2,1,1,29,0,1,0
SRL0524,0,1,0,0,0,19,0,1,0
SRL0525,0,1,2,1,0,19,0,0,0
SRL0526,1,2,3,2,0,33,2,1,6
SRL0527,0,4,2,2,2,45,0,0,0
SRL0528,0,4,2,2,2,65,0,0,0
SRL0529,1,1,3,2,2,23,2,1,3
SRL0530,0,2,2,1,1,32,2,1,3
SRL0531,0,3,1,1,0,42,0,0,0
SRL0532,1,3,3,1,0,36,0,0,0
