RESPNO,Age,InterestPublicAffairs,DiscussPolitics,InformalPP,FormalPP,TrustPresident,TrustParliament,TrustJudiciary,Education
SRL0543,19,0,1,1,0,2,1,1,3
SRL0544,24,2,1,1,1,3,2,2,0
SRL0545,44,3,2,3,1,3,1,1,3
SRL0546,19,2,1,1,0,0,0,2,0
SRL0547,25,3,1,3,1,3,3,3,4
SRL0548,85,3,0,3,0,3,2,3,0
SRL0549,42,0,0,4,1,3,2,2,0
SRL0550,50,2,1,4,1,1,1,2,2
SRL0551,38,3,2,3,0,1,0,3,6
SRL0552,25,0,0,3,1,0,0,1,0
SRL0553,20,2,2,3,1,3,2,1,5
SRL0554,48,0,2,2,0,0,0,0,5
SRL0555,43,0,2,3,0,3,1,2,1
SRL0556,54,3,1,3,1,3,0,3,3
SRL0557,35,0,0,1,0,2,2,0,0
SRL0558,44,3,2,3,0,1,1,3,1
SRL0559,60,2,1,2,0,3,2,2,0
SRL0560,40,1,0,3,0,3,2,2,7
SRL0561,26,2,1,1,1,2,2,2,0
SRL0562,38,2,1,3,1,2,1,1,0
SRL0563,37,1,1,9,9,0,0,0,3
SRL0564,20,0,9,9,9,0,0,9,2
SRL0565,47,0,0,2,0,2,2,2,0
SRL0566,50,0,0,1,0,3,2,2,1
SRL0567,75,0,0,9,0,0,0,0,0
SRL0568,29,0,2,3,1,1,1,2,9
SRL0569,27,2,0,1,1,2,1,3,0
SRL0570,32,2,1,3,1,3,2,1,0
SRL0571,51,3,0,3,0,3,1,1,2
SRL0572,35,3,2,3,0,3,0,3,2
SRL0573,25,2,1,3,0,3,1,1,2
SRL0574,31,3,1,2,1,3,2,3,0
SRL0575,60,0,0,4,0,3,1,3,0
